Animal_Type,Breed,Age_norm,Weight_norm,Duration_Days_norm,Body_Temperature_C_norm,Heart_Rate_norm,temp_deviation_norm,Appetite_Loss_bin,Vomiting_bin,Diarrhea_bin,Coughing_bin,Labored_Breathing_bin,Lameness_bin,Skin_Lesions_bin,Nasal_Discharge_bin,Eye_Discharge_bin,symptom_count,is_fever,high_heart_rate,Gender_bin,Breed_encoded,animal_Cat,animal_Cow,animal_Dog,animal_Goat,animal_Horse,animal_Pig,animal_Rabbit,animal_Sheep,Disease_Prediction,Disease_ID
Horse,Thoroughbred,0.5333,0.723,1.0,0.3889,0.0,0.3889,1,1,0,1,0,0,1,0,0,4,0,0,1,5,0,0,0,0,1,0,0,0,Equine Infectious Anemia,54
Rabbit,Mini Lop,0.0,0.0001,1.0,0.7222,0.8105,0.7222,1,0,1,1,0,0,0,0,0,3,1,1,1,87,0,0,0,0,0,0,1,0,Rabbit Hemorrhagic Disease,118
Rabbit,Himalayan,0.0667,0.0001,0.4167,0.8333,0.8737,0.8333,1,1,1,1,1,0,1,0,0,6,1,1,1,74,0,0,0,0,0,0,1,0,Rabbit Syphilis,119
Cat,Russian Blue,0.3333,0.0024,0.8333,1.0,0.7579,1.0,1,0,1,0,0,0,1,0,1,4,1,1,0,21,1,0,0,0,0,0,0,0,Feline Infectious Peritonitis,75
Sheep,Leicester Longwool,0.3333,0.1456,0.1667,0.5556,0.1158,0.5556,1,0,0,0,1,1,1,0,1,5,0,0,1,97,0,0,0,0,0,0,0,1,Scrapie,125
Cat,British Shorthair,0.2,0.0044,0.0,0.2222,0.6526,0.2222,1,0,1,0,0,0,1,0,0,3,0,1,1,18,1,0,0,0,0,0,0,0,Feline Respiratory Infection,82
Cow,Holstein,0.3333,0.6342,0.1667,0.7778,0.0526,0.7778,0,1,0,1,1,1,1,0,1,6,1,0,0,2,0,1,0,0,0,0,0,0,Mastitis,105
Dog,Border Collie,0.6,0.0217,0.0833,0.5556,0.5474,0.5556,1,1,1,1,1,1,0,0,1,7,0,1,0,31,0,0,1,0,0,0,0,0,Parvovirus,109
Goat,Nubian,0.3333,0.0972,0.1667,0.7222,0.1263,0.7222,1,0,1,0,0,1,0,1,0,4,1,0,1,68,0,0,0,1,0,0,0,0,Pneumonia,111
Pig,Berkshire,0.1333,0.1661,0.6667,0.9444,0.1053,0.9444,1,1,1,0,0,1,1,0,0,5,1,0,0,72,0,0,0,0,0,1,0,0,Swine Fever,131
Cat,Abyssinian,0.2,0.0024,0.5833,0.8889,0.6947,0.8889,0,0,0,0,0,1,1,0,1,3,1,1,1,26,1,0,0,0,0,0,0,0,Feline Leukemia Virus,77
Dog,Bulldog,0.3333,0.023,0.3333,0.8333,0.5474,0.8333,1,1,1,1,0,1,0,0,1,6,1,1,1,8,0,0,1,0,0,0,0,0,Gastroenteritis,90
Horse,Clydesdale,0.2,0.6062,0.4167,0.1667,0.2842,0.1667,1,1,0,0,1,1,1,1,1,7,0,0,0,17,0,0,0,0,1,0,0,0,Equine Laminitis,57
Cow,Angus,0.2,0.6094,0.25,1.0,0.0526,1.0,1,0,1,0,1,1,1,0,1,6,1,0,1,19,0,1,0,0,0,0,0,0,Bovine Influenza,12
Horse,Clydesdale,0.4667,0.6751,0.3333,0.3889,0.0,0.3889,1,1,0,1,1,0,1,0,1,6,0,0,0,17,0,0,0,0,1,0,0,0,Equine Protozoal Myeloencephalitis,64
Pig,Tamworth,0.2,0.1812,1.0,0.0556,0.2,0.0556,1,0,0,1,1,1,0,1,1,6,0,0,0,77,0,0,0,0,0,1,0,0,Swine Flu,132
Dog,Golden Retriever,0.2667,0.021,0.0,0.7222,0.5579,0.7222,0,1,0,0,1,1,1,1,1,6,1,1,1,20,0,0,1,0,0,0,0,0,Tick-Borne Disease,134
Cat,Maine Coon,0.2667,0.006,0.0833,0.4444,0.7474,0.4444,1,0,0,1,0,0,1,0,0,3,0,1,0,7,1,0,0,0,0,0,0,0,Feline Chlamydia,70
Pig,Tamworth,0.0667,0.145,0.6667,0.5556,0.2105,0.5556,1,0,0,0,1,0,1,0,1,4,0,0,0,77,0,0,0,0,0,1,0,0,Porcine Epidemic Diarrhea,113
Cat,Russian Blue,0.2667,0.0111,0.0833,0.4444,0.6947,0.4444,1,1,1,0,1,1,1,1,0,7,0,1,0,21,1,0,0,0,0,0,0,0,Feline Chlamydia,70
Horse,Tennessee Walking Horse,0.4667,0.6004,0.3333,0.6667,0.0,0.6667,0,0,1,1,0,0,0,1,1,4,1,0,0,105,0,0,0,0,1,0,0,0,Equine Influenza,55
Goat,Toggenburg,0.4,0.0636,0.0833,0.0556,0.1895,0.0556,1,0,0,1,0,1,0,1,0,4,0,0,0,71,0,0,0,1,0,0,0,0,Caprine Arthritis Encephalitis Virus,34
Dog,Shih Tzu,0.1333,0.0118,0.5,0.2222,0.5895,0.2222,1,1,0,1,0,0,0,1,0,4,0,1,1,44,0,0,1,0,0,0,0,0,Canine Leptospirosis,30
Cow,Jersey,0.2,0.775,0.0,0.2222,0.1789,0.2222,1,1,1,0,1,0,0,0,0,4,0,0,0,9,0,1,0,0,0,0,0,0,Bovine Respiratory Syncytial Virus,20
Dog,Shih Tzu,0.2667,0.0087,0.4167,0.3889,0.5684,0.3889,1,1,1,0,0,1,0,1,0,5,0,1,0,44,0,0,1,0,0,0,0,0,Canine Infectious Hepatitis,28
Cow,Holstein,0.2667,0.7379,0.8333,0.1111,0.1684,0.1111,1,1,1,0,1,1,1,0,0,6,0,0,1,2,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Horse,Mustang,0.3333,1.0,0.4167,0.1111,0.0842,0.1111,1,0,1,1,0,0,0,1,1,5,0,0,0,90,0,0,0,0,1,0,0,0,Equine Influenza,55
Sheep,Cheviot,0.2,0.12,0.8333,0.9444,0.0526,0.9444,1,0,0,0,0,0,1,0,1,3,1,0,0,70,0,0,0,0,0,0,0,1,Foot and Mouth Disease,86
Sheep,Suffolk,0.2667,0.0943,0.6667,0.6667,0.0737,0.6667,1,1,1,0,0,1,1,0,0,5,1,0,0,60,0,0,0,0,0,0,0,1,Foot-and-Mouth Disease,87
Goat,Nubian,0.3333,0.0984,1.0,0.3333,0.1263,0.3333,1,1,0,1,1,1,0,1,1,7,0,0,1,68,0,0,0,1,0,0,0,0,Caprine Arthritis Encephalitis,33
Horse,Arabian,0.4667,0.4512,0.3333,0.6667,0.3158,0.6667,1,1,1,1,1,1,0,0,1,7,1,0,1,12,0,0,0,0,1,0,0,0,Equine Lyme Disease,59
Cow,Ayrshire,0.2667,0.7847,0.3333,0.5,0.1158,0.5,1,0,0,1,1,1,1,0,1,6,0,0,0,102,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Cat,Sphynx,0.2667,0.0084,0.4167,0.2222,0.7684,0.2222,1,1,1,1,1,1,0,0,1,7,0,1,1,25,1,0,0,0,0,0,0,0,Feline Calicivirus,69
Rabbit,Himalayan,0.0,0.0015,0.1667,0.6111,0.8842,0.6111,0,0,0,1,1,0,1,0,1,4,0,1,1,74,0,0,0,0,0,0,1,0,Pasteurellosis,110
Goat,Boer,0.4,0.0867,0.8333,0.6111,0.1368,0.6111,1,1,1,0,1,0,1,1,0,6,0,0,0,57,0,0,0,1,0,0,0,0,Caprine Arthritis Encephalitis,33
Horse,Quarter Horse,0.4667,0.7444,0.25,0.3889,0.4316,0.3889,1,1,0,1,0,1,0,1,0,5,0,0,1,22,0,0,0,0,1,0,0,0,Equine Metabolic Syndrome,60
Horse,Appaloosa,0.3333,0.4945,0.25,0.8333,0.1368,0.8333,1,1,0,1,0,0,0,0,1,4,1,0,1,23,0,0,0,0,1,0,0,0,Equine Encephalomyelitis,52
Cat,Devon Rex,0.0,0.0044,0.8333,0.8333,0.8105,0.8333,1,0,1,0,1,0,1,0,0,4,1,1,0,32,1,0,0,0,0,0,0,0,Feline Herpesvirus,73
Horse,Pinto,0.3333,0.7187,1.0,0.1111,0.0842,0.1111,1,1,0,1,0,1,1,1,1,7,0,0,1,85,0,0,0,0,1,0,0,0,West Nile Virus,138
Cat,British Shorthair,0.2,0.0071,0.0,0.3333,0.7263,0.3333,1,0,0,1,1,0,0,1,0,4,0,1,0,18,1,0,0,0,0,0,0,0,Feline Panleukopenia,78
Cow,Jersey,0.4667,0.6211,0.8333,0.6667,0.1263,0.6667,1,1,0,1,1,1,0,0,1,6,1,0,1,9,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Cat,Siamese,0.2667,0.0031,0.5,0.1111,0.8105,0.1111,0,1,0,1,1,0,1,1,1,6,0,1,1,1,1,0,0,0,0,0,0,0,Upper Respiratory Infection,136
Cat,Siberian,0.2,0.0048,0.4167,0.4444,0.7895,0.4444,1,1,0,1,0,1,1,0,0,5,0,1,1,41,1,0,0,0,0,0,0,0,Feline Respiratory Infection,82
Cow,Holstein,0.3333,0.6683,1.0,0.2222,0.0947,0.2222,1,1,0,0,1,0,1,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,Bovine Tuberculosis,21
Cat,Ragdoll,0.3333,0.0024,0.8333,0.5,0.7684,0.5,0,0,0,1,1,1,1,1,1,6,0,1,0,15,1,0,0,0,0,0,0,0,Feline Calicivirus,69
Sheep,Finnsheep,0.1333,0.0889,0.0833,0.8333,0.1368,0.8333,0,0,1,1,1,1,1,0,0,5,1,0,0,95,0,0,0,0,0,0,0,1,Scrapie,125
Cow,Angus,0.0667,0.6976,0.0833,0.6111,0.2421,0.6111,1,1,0,1,0,1,0,1,1,6,0,0,0,19,0,1,0,0,0,0,0,0,Mastitis,105
Cow,Holstein,0.2,0.6979,0.0833,0.4444,0.1158,0.4444,1,1,1,1,1,0,1,0,1,7,0,0,0,2,0,1,0,0,0,0,0,0,Bovine Tuberculosis,21
Horse,Thoroughbred,0.2667,0.7256,0.0,0.6111,0.1474,0.6111,1,1,1,1,0,1,1,1,0,7,0,0,0,5,0,0,0,0,1,0,0,0,Equine Leptospirosis,58
Cow,Red Poll,0.4,0.5796,0.0,0.1667,0.1263,0.1667,1,1,1,0,1,1,0,1,0,6,0,0,0,112,0,1,0,0,0,0,0,0,Bovine Tuberculosis,21
Horse,Clydesdale,0.5333,0.7106,0.3333,0.7222,0.2,0.7222,0,0,0,1,1,0,0,1,0,3,1,0,0,17,0,0,0,0,1,0,0,0,Equine Infectious Anemia,54
Cow,Jersey,0.2,0.6668,0.0833,0.3889,0.1053,0.3889,1,1,0,1,1,0,1,1,1,7,0,0,1,9,0,1,0,0,0,0,0,0,Mastitis,105
Cow,Charolais,0.3333,0.6237,0.0,0.1667,0.0632,0.1667,1,1,0,1,1,1,1,0,1,7,0,0,1,86,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Cat,Siamese,0.3333,0.0071,0.4167,0.6667,0.6526,0.6667,0,0,1,0,0,0,1,1,0,3,1,1,1,1,1,0,0,0,0,0,0,0,Feline Respiratory Disease Complex,81
Cat,Russian Blue,0.2,0.0061,0.5,0.8333,0.6842,0.8333,1,0,0,1,0,0,0,0,1,3,1,1,0,21,1,0,0,0,0,0,0,0,Feline Calicivirus,69
Horse,Quarter Horse,0.7333,0.4989,0.4167,0.6667,0.0316,0.6667,0,0,0,1,1,0,0,0,0,2,1,0,1,22,0,0,0,0,1,0,0,0,Equine Influenza,55
Sheep,Blackface,0.4,0.0782,0.0,0.3889,0.0,0.3889,1,0,0,1,0,0,0,1,0,3,0,0,1,115,0,0,0,0,0,0,0,1,Foot and Mouth Disease,86
Cat,Maine Coon,0.0667,0.0057,0.3333,0.7222,0.7789,0.7222,1,1,1,0,1,0,1,1,1,7,1,1,1,7,1,0,0,0,0,0,0,0,Feline Herpesvirus,73
Cat,Bengal,0.4667,0.0098,0.5833,0.7222,0.7053,0.7222,1,0,0,0,1,1,0,0,1,4,1,1,0,11,1,0,0,0,0,0,0,0,Feline Leukemia Virus,77
Horse,Welsh Pony,0.6667,0.6502,0.0,0.1111,0.2632,0.1111,1,1,1,1,1,1,0,0,1,7,0,0,0,51,0,0,0,0,1,0,0,0,Equine Rhinopneumonitis,65
Horse,Clydesdale,0.2,0.7688,0.0,0.5556,0.1895,0.5556,0,1,0,1,1,1,0,1,1,6,0,0,0,17,0,0,0,0,1,0,0,0,Equine Protozoal Myeloencephalitis,64
Sheep,Dorset,0.2667,0.0784,0.3333,0.5556,0.0526,0.5556,1,0,1,1,0,0,0,0,0,3,0,0,0,101,0,0,0,0,0,0,0,1,Bluetongue,8
Goat,Alpine,0.0667,0.0949,0.0,0.8333,0.1158,0.8333,1,1,1,1,1,0,1,1,1,8,1,0,1,61,0,0,0,1,0,0,0,0,Caprine Arthritis Encephalitis,33
Dog,Boxer,0.6,0.0131,0.5,0.5556,0.4737,0.5556,1,1,0,1,1,1,1,1,0,7,0,0,1,54,0,0,1,0,0,0,0,0,Gastroenteritis,90
Dog,Poodle,0.2667,0.0432,0.25,0.3333,0.6,0.3333,1,0,0,1,0,1,1,1,0,5,0,1,1,10,0,0,1,0,0,0,0,0,Gastroenteritis,90
Cow,Holstein,0.2,0.7312,0.5833,0.2222,0.0632,0.2222,1,1,1,0,0,1,1,1,0,6,0,0,1,2,0,1,0,0,0,0,0,0,Mastitis,105
Cow,Brown Swiss,0.4,0.8227,0.1667,0.1111,0.0,0.1111,1,0,0,0,0,1,0,1,0,3,0,0,0,52,0,1,0,0,0,0,0,0,Bovine Tuberculosis,21
Horse,Clydesdale,0.4,0.7324,0.4167,0.1667,0.1263,0.1667,1,1,0,0,1,0,0,0,0,3,0,0,0,17,0,0,0,0,1,0,0,0,Equine Osteoarthritis,61
Dog,Rottweiler,0.3333,0.0343,0.5,1.0,0.5895,1.0,1,0,0,1,1,1,0,0,1,5,1,1,0,40,0,0,1,0,0,0,0,0,Parvovirus,109
Horse,Mustang,0.5333,0.6504,0.6667,0.6667,0.2842,0.6667,1,1,0,1,1,1,1,1,0,7,1,0,0,90,0,0,0,0,1,0,0,0,Laminitis,101
Cat,Siberian,0.1333,0.0069,0.3333,0.8333,0.7474,0.8333,1,1,1,1,0,0,1,1,0,6,1,1,0,41,1,0,0,0,0,0,0,0,Upper Respiratory Infection,136
Pig,Chester White,0.0667,0.1658,0.4167,1.0,0.4211,1.0,1,0,0,0,1,1,1,1,1,6,1,0,0,119,0,0,0,0,0,1,0,0,Swine Fever,131
Horse,Mustang,0.4667,0.5961,0.4167,0.6111,0.1158,0.6111,1,1,0,1,1,1,1,0,1,7,0,0,0,90,0,0,0,0,1,0,0,0,West Nile Virus,138
Dog,Dachshund,0.4,0.025,1.0,0.2778,0.6,0.2778,1,0,1,1,1,0,1,0,0,5,0,1,0,24,0,0,1,0,0,0,0,0,Pancreatitis,107
Cow,Angus,0.2667,0.7621,0.0,0.0556,0.0842,0.0556,1,1,0,0,1,1,1,1,0,6,0,0,1,19,0,1,0,0,0,0,0,0,Bovine Leukemia Virus,14
Horse,Thoroughbred,0.2667,0.9074,0.4167,0.2778,0.1368,0.2778,1,1,1,1,1,1,0,0,0,6,0,0,0,5,0,0,0,0,1,0,0,0,Equine Herpesvirus,53
Cat,Siberian,0.2,0.0067,0.5833,0.1667,0.6737,0.1667,1,1,0,1,0,0,0,0,0,3,0,1,1,41,1,0,0,0,0,0,0,0,Feline Rhinotracheitis,83
Cat,Scottish Fold,0.2,0.0072,0.1667,0.7778,0.8316,0.7778,1,1,0,0,1,0,0,1,1,5,1,1,1,38,1,0,0,0,0,0,0,0,Feline Infectious Peritonitis,75
Sheep,Romney,0.2,0.1152,0.6667,1.0,0.1474,1.0,1,1,0,1,0,0,1,1,1,6,1,0,1,75,0,0,0,0,0,0,0,1,Scrapie,125
Cow,Holstein,0.0667,0.7476,0.5833,0.1111,0.1263,0.1111,0,1,1,1,1,1,0,0,0,5,0,0,1,2,0,1,0,0,0,0,0,0,Mastitis,105
Pig,Duroc,0.2,0.1344,1.0,0.7778,0.1263,0.7778,1,1,0,0,0,1,0,0,1,4,1,0,0,62,0,0,0,0,0,1,0,0,Swine Erysipelas,130
Goat,Nubian,0.2667,0.0642,0.3333,0.8333,0.1579,0.8333,1,0,1,1,1,1,1,0,1,7,1,0,1,68,0,0,0,1,0,0,0,0,Caprine Arthritis Encephalitis,33
Goat,Nigerian Dwarf,0.4667,0.0651,0.8333,0.7778,0.1579,0.7778,1,0,1,0,1,0,1,1,0,5,1,0,1,98,0,0,0,1,0,0,0,0,Pneumonia,111
Sheep,Dorper,0.1333,0.1398,0.25,0.3889,0.0526,0.3889,1,1,1,0,1,0,0,0,0,4,0,0,1,67,0,0,0,0,0,0,0,1,Pasteurellosis,110
Cow,Guernsey,0.3333,0.7126,0.5,0.4444,0.1474,0.4444,1,0,0,1,1,1,0,0,0,4,0,0,0,36,0,1,0,0,0,0,0,0,Bovine Tuberculosis,21
Cat,Bengal,0.2,0.0072,0.5833,0.3333,0.8421,0.3333,1,1,1,0,0,1,0,0,0,4,0,1,0,11,1,0,0,0,0,0,0,0,Intestinal Parasites,98
Cow,Angus,0.2667,0.7498,0.1667,0.4444,0.1263,0.4444,1,1,1,1,1,0,1,1,1,8,0,0,1,19,0,1,0,0,0,0,0,0,Bovine Tuberculosis,21
Horse,Arabian,0.4667,0.7068,0.6667,0.6667,0.2211,0.6667,1,0,0,1,0,1,0,0,1,4,1,0,1,12,0,0,0,0,1,0,0,0,Equine Rhinopneumonitis,65
Cow,Aberdeen Angus,0.0667,0.5494,0.0,0.5,0.2211,0.5,1,0,0,0,0,1,1,0,0,3,0,0,0,100,0,1,0,0,0,0,0,0,Johne's Disease,99
Dog,Rottweiler,0.3333,0.0518,0.25,0.2222,0.5368,0.2222,1,0,0,1,1,0,0,1,1,5,0,1,1,40,0,0,1,0,0,0,0,0,Canine Distemper,24
Horse,Thoroughbred,0.3333,0.7734,0.4167,0.1667,0.0105,0.1667,1,0,0,1,0,1,1,0,1,5,0,0,0,5,0,0,0,0,1,0,0,0,Equine Herpesvirus,53
Cat,Scottish Fold,0.2667,0.0041,1.0,0.5556,0.7895,0.5556,1,0,0,1,0,1,0,0,1,4,0,1,1,38,1,0,0,0,0,0,0,0,Fungal Infection,89
Cat,Devon Rex,0.1333,0.0049,0.0,0.1111,0.6211,0.1111,1,0,0,0,1,0,1,1,0,4,0,1,1,32,1,0,0,0,0,0,0,0,Feline Asthma,68
Cat,Persian,0.2,0.009,0.5833,0.6667,0.7053,0.6667,1,1,1,1,0,0,0,1,0,5,1,1,0,4,1,0,0,0,0,0,0,0,Feline Chlamydiosis,71
Sheep,Dorper,0.2667,0.1313,0.5,0.0,0.0421,0.0,1,0,1,1,0,1,1,0,1,6,0,0,0,67,0,0,0,0,0,0,0,1,Foot-and-Mouth Disease,87
Sheep,Texel,0.2667,0.1088,0.1667,1.0,0.0842,1.0,0,1,0,1,1,1,0,1,1,6,1,0,1,83,0,0,0,0,0,0,0,1,Foot-and-Mouth Disease,87
Rabbit,Himalayan,0.0,0.0,0.5,0.3333,0.7474,0.3333,1,1,0,1,1,1,1,1,0,7,0,1,0,74,0,0,0,0,0,0,1,0,Respiratory Infection,121
Pig,Berkshire,0.0667,0.1392,0.6667,0.0556,0.2526,0.0556,1,0,0,1,0,0,0,1,0,3,0,0,0,72,0,0,0,0,0,1,0,0,Swine Influenza,133
Horse,Thoroughbred,0.5333,0.9349,0.5,0.7222,0.2105,0.7222,1,1,0,1,0,0,0,1,1,5,1,0,1,5,0,0,0,0,1,0,0,0,Equine Influenza,55
Cat,Persian,0.1333,0.0033,0.3333,0.4444,0.6947,0.4444,1,1,0,1,0,1,0,1,0,5,0,1,0,4,1,0,0,0,0,0,0,0,Panleukopenia,108
Dog,Beagle,0.2,0.0342,0.0833,0.7222,0.4526,0.7222,1,1,1,1,0,1,0,1,0,6,1,0,1,3,0,0,1,0,0,0,0,0,Canine Leptospirosis,30
Goat,Nubian,0.4,0.0636,0.25,0.0,0.1053,0.0,1,1,0,1,0,1,0,0,1,5,0,0,1,68,0,0,0,1,0,0,0,0,Caprine Arthritis Encephalitis,33
Cow,Ayrshire,0.0667,0.623,0.8333,0.0556,0.1053,0.0556,1,1,0,0,0,1,0,0,0,3,0,0,0,102,0,1,0,0,0,0,0,0,Tuberculosis,135
Goat,Nubian,0.3333,0.1185,0.5,0.2222,0.1895,0.2222,1,1,0,1,0,0,1,1,1,6,0,0,1,68,0,0,0,1,0,0,0,0,Caprine Arthritis Encephalitis,33
Cow,Holstein,0.0667,0.7649,1.0,0.1111,0.0737,0.1111,1,0,1,0,1,1,1,1,0,6,0,0,0,2,0,1,0,0,0,0,0,0,Bovine Coccidiosis,11
Cat,Maine Coon,0.1333,0.0053,0.4167,0.8333,0.8,0.8333,0,0,0,0,0,1,1,0,1,3,1,1,1,7,1,0,0,0,0,0,0,0,Feline Infectious Peritonitis,75
Cat,Siamese,0.3333,0.0024,0.0833,0.7222,0.8842,0.7222,1,1,0,1,0,1,1,0,1,6,1,1,0,1,1,0,0,0,0,0,0,0,Feline Panleukopenia,78
Goat,Nubian,0.2,0.0965,0.5833,0.6667,0.1368,0.6667,0,1,1,1,0,1,1,1,1,7,1,0,0,68,0,0,0,1,0,0,0,0,Caprine Pleuropneumonia,35
Cow,Ayrshire,0.1333,0.8006,0.4167,0.3889,0.2526,0.3889,1,1,0,1,0,1,0,1,0,5,0,0,1,102,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Horse,Clydesdale,0.3333,0.7217,0.5833,0.7778,0.2211,0.7778,1,0,1,1,1,1,0,1,0,6,1,0,0,17,0,0,0,0,1,0,0,0,Equine Influenza,55
Cat,Sphynx,0.4,0.0052,0.0,0.9444,0.7684,0.9444,1,0,0,1,1,1,1,1,0,6,1,1,1,25,1,0,0,0,0,0,0,0,Feline Viral Rhinotracheitis,85
Cat,Siamese,0.3333,0.0039,0.4167,0.1667,0.8105,0.1667,1,0,1,1,0,0,1,1,0,5,0,1,1,1,1,0,0,0,0,0,0,0,Feline Asthma,68
Horse,Clydesdale,0.3333,0.6309,0.6667,0.8889,0.0,0.8889,1,0,1,0,1,0,1,1,1,6,1,0,0,17,0,0,0,0,1,0,0,0,Equine Laminitis,57
Rabbit,English Angora,0.0,0.0035,0.5,0.2222,0.6421,0.2222,1,0,0,1,0,0,1,1,1,5,0,1,1,69,0,0,0,0,0,0,1,0,Upper Respiratory Infection,136
Cat,Burmese,0.2667,0.0071,0.25,0.0,0.8211,0.0,1,1,1,1,0,0,0,0,1,5,0,1,0,64,1,0,0,0,0,0,0,0,Feline Infectious Peritonitis,75
Rabbit,Mini Rex,0.0667,0.0008,0.25,0.8333,0.7579,0.8333,1,1,0,1,0,1,1,1,0,6,1,1,0,59,0,0,0,0,0,0,1,0,Viral Hemorrhagic Disease,137
Cat,Persian,0.3333,0.0079,0.4167,0.8889,0.7158,0.8889,1,1,1,0,0,1,1,1,1,7,1,1,1,4,1,0,0,0,0,0,0,0,Feline Herpesvirus,73
Dog,Beagle,0.0667,0.0166,0.8333,0.8889,0.5053,0.8889,1,0,1,1,1,1,0,0,0,5,1,0,1,3,0,0,1,0,0,0,0,0,Canine Parvovirus,31
Cow,Hereford,0.2,0.8067,0.8333,1.0,0.0737,1.0,1,0,0,0,1,1,0,1,0,4,1,0,0,13,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Goat,Alpine,0.0667,0.0788,0.3333,0.2778,0.1053,0.2778,1,1,1,0,1,0,1,0,0,5,0,0,1,61,0,0,0,1,0,0,0,0,Caprine Arthritis,32
Sheep,Rambouillet,0.2,0.1518,0.5833,0.0,0.1474,0.0,1,0,0,1,0,0,0,1,0,3,0,0,1,118,0,0,0,0,0,0,0,1,Foot-and-Mouth Disease,87
Goat,Nubian,0.4,0.0986,1.0,1.0,0.1895,1.0,0,0,0,0,1,1,0,0,1,3,1,0,1,68,0,0,0,1,0,0,0,0,Foot-and-Mouth Disease,87
Goat,Boer,0.2,0.0746,0.3333,0.1667,0.1895,0.1667,1,0,1,0,0,0,0,1,0,3,0,0,1,57,0,0,0,1,0,0,0,0,Pneumonia,111
Dog,Labrador,0.4667,0.0012,0.6667,0.4444,0.5474,0.4444,1,0,0,0,1,1,1,0,0,4,0,1,1,0,0,0,1,0,0,0,0,0,Pancreatitis,107
Dog,Akita,0.2,0.0027,1.0,0.0,0.5579,0.0,1,1,0,1,0,1,1,0,1,6,0,1,0,53,0,0,1,0,0,0,0,0,Lyme Disease,103
Cat,Russian Blue,0.2,0.0035,0.1667,0.5,0.8105,0.5,0,0,0,0,0,1,1,0,1,3,0,1,1,21,1,0,0,0,0,0,0,0,Pancreatitis,107
Horse,Thoroughbred,0.7333,0.7059,0.4167,0.8889,0.2526,0.8889,1,1,1,1,0,1,0,0,1,6,1,0,0,5,0,0,0,0,1,0,0,0,Equine Influenza,55
Cow,Brahman,0.3333,0.7115,0.5,0.7222,0.0842,0.7222,1,1,1,1,1,1,0,1,1,8,1,0,0,27,0,1,0,0,0,0,0,0,Bovine Mastitis,15
Dog,Rottweiler,0.2,0.0273,0.25,0.1111,0.6421,0.1111,1,1,1,1,0,0,0,1,1,6,0,1,1,40,0,0,1,0,0,0,0,0,Canine Distemper,24
Cow,Angus,0.3333,0.6683,0.1667,0.6667,0.1895,0.6667,1,0,1,1,1,0,1,1,0,6,1,0,1,19,0,1,0,0,0,0,0,0,Coccidiosis,41
Cat,Russian Blue,0.2,0.0092,1.0,0.4444,0.8,0.4444,1,0,0,0,0,1,1,0,0,3,0,1,1,21,1,0,0,0,0,0,0,0,Feline Chlamydiosis,71
Horse,Morgan,0.5333,0.6272,0.4167,0.2778,0.1263,0.2778,1,0,1,1,0,0,0,1,0,4,0,0,0,29,0,0,0,0,1,0,0,0,Equine Infectious Anemia,54
Dog,Doberman Pinscher,0.2667,0.0119,0.1667,0.3889,0.5474,0.3889,1,1,1,1,1,1,1,0,1,8,0,1,1,84,0,0,1,0,0,0,0,0,Parvovirus,109
Cow,Hereford,0.1333,0.8367,0.0,0.7222,0.1263,0.7222,0,1,1,1,0,1,0,1,1,6,1,0,1,13,0,1,0,0,0,0,0,0,Bovine Tuberculosis,21
Horse,Appaloosa,0.4,0.7282,0.25,0.2222,0.1158,0.2222,1,0,1,1,0,1,1,0,0,5,0,0,1,23,0,0,0,0,1,0,0,0,Equine Piroplasmosis,62
Horse,Arabian,0.4667,0.4224,0.5833,0.7222,0.0526,0.7222,1,1,0,0,0,1,1,0,0,4,1,0,0,12,0,0,0,0,1,0,0,0,Equine Herpesvirus,53
Cow,Holstein,0.2,0.7424,0.5833,0.8333,0.2737,0.8333,1,1,1,1,1,0,0,1,1,7,1,0,0,2,0,1,0,0,0,0,0,0,Salmonellosis,124
Cat,Siamese,0.3333,0.0058,0.5833,0.0,0.7368,0.0,1,1,0,1,1,0,0,1,1,6,0,1,0,1,1,0,0,0,0,0,0,0,Feline Leukemia Virus,77
Horse,Andalusian,0.5333,0.6118,0.4167,0.1111,0.1053,0.1111,1,1,1,1,0,0,1,0,1,6,0,0,0,110,0,0,0,0,1,0,0,0,Equine Influenza,55
Horse,Arabian,0.7333,0.4054,0.5,0.0556,0.2211,0.0556,1,0,1,0,0,0,0,0,0,2,0,0,1,12,0,0,0,0,1,0,0,0,Equine Infectious Anemia,54
Horse,Welsh Pony,0.7333,0.5678,0.4167,0.3333,0.0,0.3333,1,1,0,1,0,0,0,1,1,5,0,0,1,51,0,0,0,0,1,0,0,0,Equine Infectious Anemia,54
Cat,Abyssinian,0.2,0.0048,0.0833,0.5556,0.7789,0.5556,1,1,1,0,0,0,0,1,0,4,0,1,0,26,1,0,0,0,0,0,0,0,Feline Leukemia Virus,77
Goat,Nubian,0.3333,0.1389,0.5833,1.0,0.1474,1.0,0,1,0,0,0,1,0,1,1,4,1,0,1,68,0,0,0,1,0,0,0,0,Caprine Arthritis Encephalitis,33
