Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Cat,Russian Blue,4,Female,7.1,Dehydration,Fever,Loss of Appetite,Coughing,8 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,39.5°C,147,Upper Respiratory Infection
Horse,Shire,7,Female,719.5,Lethargy,Nasal Discharge,Fever,Reduced Milk Production,7 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40.0°C,89,West Nile Virus
Cat,British Shorthair,4,Female,3.0,Appetite Loss,Reduced Milk Production,Decreased Milk Yield,Eye Discharge,7 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39.3°C,143,Feline Panleukopenia
Dog,Dachshund,6,Male,10.2,Reduced Wool Growth,Reduced Mobility,Lameness,Weight Loss,12 days,Yes,No,No,Yes,No,No,No,Yes,No,39.5°C,115,Kennel Cough
Dog,Husky,6,Female,13.9,Fever,No,Skin Lesions,Weight Loss,2 days,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38.7°C,122,Gastroenteritis
Dog,Rottweiler,2,Male,9.2,Swollen Joints,Skin Lesions,Reduced Appetite,Sneezing,2 days,Yes,Yes,Yes,No,Yes,No,No,Yes,No,38.7°C,129,Parvovirus
Cat,Persian,5,Male,5.1,Reduced Wool Production,Loss of Appetite,Swollen Joints,Lethargy,5 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,38.6°C,137,Pancreatitis
Cat,Bengal,4,Female,4.7,Dehydration,Loss of Appetite,Labored Breathing,Reduced Appetite,2 weeks,Yes,No,No,Yes,No,Yes,Yes,No,Yes,39.6°C,145,Feline Herpesvirus
Cow,Holstein,4,Male,596.1,Reduced Wool Growth,Appetite Loss,Swollen Joints,Reduced Mobility,10 days,Yes,Yes,No,No,No,Yes,Yes,No,No,38.4°C,86,Bovine Respiratory Disease
Cow,Jersey,6,Male,732.9,Dehydration,Swollen Joints,Lethargy,Swelling,7 days,Yes,Yes,No,Yes,Yes,No,No,No,Yes,39.7°C,90,Bovine Respiratory Disease Complex
Dog,Dachshund,5,Female,27.1,Labored Breathing,Eye Discharge,Reduced Mobility,Skin Lesions,2 days,Yes,Yes,Yes,Yes,No,No,No,No,No,39.4°C,115,Parvovirus
Sheep,Dorper,5,Male,98.1,Reduced Wool Growth,Nasal Discharge,Reduced Mobility,Fever,6 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,38.8°C,79,Scrapie Disease
Cat,Ragdoll,3,Male,6.0,Appetite Loss,Coughing,Skin Lesions,Fever,7 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,40.2°C,141,Feline Calicivirus
Cow,Angus,6,Female,618.8,Labored Breathing,Swollen Legs,Sneezing,Swollen Joints,6 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,38.9°C,81,Bovine Respiratory Disease
Cow,Hereford,2,Male,520.9,No,Dehydration,Decreased Milk Yield,Diarrhea,10 days,Yes,No,No,Yes,Yes,No,Yes,No,No,39.5°C,80,Bovine Respiratory Disease
Dog,Chihuahua,7,Female,4.8,Appetite Loss,Swollen Joints,No,Lameness,9 days,No,No,No,Yes,No,Yes,No,No,No,38.5°C,118,Gastroenteritis
Goat,Angora,4,Male,73.2,Vomiting,Swollen Joints,Lethargy,Swelling,9 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,39.8°C,87,Pneumonia
Goat,Toggenburg,2,Female,113.1,Eye Discharge,Appetite Loss,Dehydration,Labored Breathing,3 days,Yes,No,No,No,Yes,Yes,Yes,Yes,No,38.8°C,88,Caprine Arthritis Encephalitis
Horse,Shire,12,Male,482.9,Diarrhea,Reduced Appetite,Reduced Wool Production,No,1 week,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,39.5°C,78,Equine Infectious Anemia
Cat,British Shorthair,7,Female,7.1,Sneezing,Nasal Discharge,Lethargy,Reduced Milk Production,4 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,39.5°C,134,Upper Respiratory Infection
Rabbit,Flemish Giant,1,Female,1.8,Reduced Appetite,Fever,Reduced Wool Growth,Reduced Milk Production,3 days,No,Yes,Yes,Yes,No,Yes,No,Yes,No,39.2°C,145,Pasteurellosis
Dog,Bulldog,2,Male,4.9,Swollen Legs,Reduced Appetite,Labored Breathing,Decreased Milk Yield,1 week,Yes,Yes,No,No,No,No,Yes,No,No,39.9°C,122,Kennel Cough
Cat,Maine Coon,3,Female,3.0,Decreased Milk Yield,Reduced Appetite,Swollen Joints,Reduced Mobility,9 days,Yes,Yes,No,No,No,No,No,No,Yes,38.7°C,134,Feline Herpesvirus
Cow,Ayrshire,6,Female,450.0,Nasal Discharge,Reduced Appetite,Swelling,Reduced Wool Growth,12 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.0°C,96,Bovine Respiratory Disease
Dog,Border Collie,8,Female,27.3,Reduced Wool Growth,Lameness,Reduced Mobility,Swollen Legs,7 days,Yes,No,No,No,No,Yes,Yes,Yes,Yes,39.5°C,122,Pancreatitis
Cat,Abyssinian,5,Female,6.0,Reduced Milk Production,Reduced Appetite,Loss of Appetite,Decreased Milk Yield,10 days,Yes,No,No,Yes,Yes,No,No,No,Yes,39.1°C,148,Intestinal Parasites
Horse,Arabian,11,Male,539.4,Sneezing,Reduced Milk Production,Reduced Wool Production,Eye Discharge,3 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,38.7°C,86,Equine Infectious Anemia
Horse,Morgan,4,Male,482.9,No,Swelling,Reduced Wool Growth,Reduced Milk Production,5 days,Yes,Yes,No,No,Yes,No,Yes,No,Yes,39.2°C,70,Equine West Nile Virus
Dog,Dachshund,6,Male,32.5,Diarrhea,Skin Lesions,Appetite Loss,Fever,5 days,Yes,No,No,No,No,No,No,No,No,39.9°C,111,Kennel Cough
Cow,Brown Swiss,3,Male,652.1,Fever,Reduced Wool Production,Reduced Milk Production,Eye Discharge,2 days,Yes,Yes,Yes,No,No,No,Yes,No,Yes,38.8°C,71,Bovine Tuberculosis
Dog,Poodle,8,Male,12.6,Decreased Milk Yield,Dehydration,Reduced Wool Growth,Lethargy,2 weeks,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,39.6°C,116,Kennel Cough
Cow,Hereford,5,Male,603.5,Swollen Legs,Swollen Joints,Nasal Discharge,Swelling,8 days,Yes,No,Yes,Yes,Yes,Yes,No,No,No,40.2°C,81,Bovine Tuberculosis
Pig,Landrace,3,Female,119.2,Eye Discharge,Decreased Milk Yield,Reduced Milk Production,Sneezing,9 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,38.9°C,86,Swine Fever
Dog,Doberman Pinscher,5,Male,14.2,Weight Loss,Coughing,Nasal Discharge,Dehydration,1 week,No,Yes,Yes,No,Yes,No,No,No,No,40.2°C,132,Canine Distemper
Horse,Appaloosa,4,Male,602.5,Vomiting,Labored Breathing,Decreased Milk Yield,Diarrhea,7 days,Yes,No,No,Yes,No,No,No,No,No,39.2°C,79,Equine Infectious Anemia
Rabbit,Holland Lop,1,Female,3.2,Lameness,Nasal Discharge,Reduced Mobility,Reduced Appetite,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,38.6°C,137,Rabbit Syphilis
Pig,Pietrain,4,Male,118.3,Reduced Appetite,Swelling,Reduced Mobility,Loss of Appetite,10 days,Yes,Yes,No,No,Yes,Yes,No,No,Yes,39.9°C,80,Swine Erysipelas
Dog,Cocker Spaniel,8,Female,28.2,Weight Loss,Loss of Appetite,Diarrhea,Dehydration,3 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,38.8°C,115,Distemper
Dog,Poodle,4,Female,21.5,Coughing,Dehydration,Lameness,Reduced Appetite,1 week,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,39.3°C,127,Canine Distemper
Rabbit,Himalayan,1,Female,1.0,Coughing,Loss of Appetite,Lameness,Reduced Milk Production,4 days,Yes,Yes,No,No,No,Yes,No,No,No,39.3°C,145,Rabbit Hemorrhagic Disease
Sheep,Cheviot,4,Male,139.0,Skin Lesions,Weight Loss,Reduced Wool Growth,Swollen Joints,2 weeks,Yes,Yes,Yes,Yes,Yes,No,No,No,No,40.0°C,70,Scrapie
Dog,Rottweiler,4,Male,20.1,Reduced Wool Growth,Vomiting,Skin Lesions,Labored Breathing,5 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5°C,111,Tick-Borne Disease
Dog,Labrador,4,Male,26.2,Eye Discharge,Weight Loss,Swelling,Diarrhea,5 days,Yes,No,No,No,No,Yes,Yes,Yes,Yes,39.0°C,125,Gastroenteritis
Cat,Siamese,2,Female,6.2,Fever,Eye Discharge,No,Coughing,5 days,Yes,No,No,Yes,No,Yes,No,No,No,39.3°C,158,Feline Asthma
Dog,Beagle,5,Male,23.0,Weight Loss,Swelling,No,Decreased Milk Yield,10 days,Yes,No,No,No,No,No,Yes,Yes,Yes,38.5°C,122,Pancreatitis
Goat,Saanen,4,Female,70.3,Reduced Appetite,Appetite Loss,Coughing,Reduced Wool Growth,10 days,Yes,No,No,Yes,No,No,Yes,Yes,No,39.2°C,87,Caprine Arthritis Encephalitis
Sheep,Lincoln,3,Male,95.1,Dehydration,No,Diarrhea,Reduced Wool Growth,1 week,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,39.1°C,72,Blue Tongue Virus
Horse,Clydesdale,10,Male,659.1,Lethargy,Reduced Mobility,Reduced Appetite,Decreased Milk Yield,4 days,Yes,No,No,No,Yes,Yes,Yes,Yes,No,40.0°C,72,Equine Protozoal Myeloencephalitis
Horse,Standardbred,10,Male,565.3,No,Reduced Wool Growth,Loss of Appetite,Reduced Milk Production,10 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,38.8°C,103,Equine Protozoal Myeloencephalitis
Cat,British Shorthair,5,Male,5.2,Dehydration,Reduced Wool Production,Eye Discharge,Appetite Loss,7 days,No,Yes,Yes,Yes,No,Yes,No,No,No,40.0°C,133,Feline Leukemia
Cat,Persian,4,Female,6.5,Lethargy,Nasal Discharge,No,Reduced Wool Growth,3 days,Yes,No,Yes,No,No,Yes,Yes,No,Yes,39.7°C,148,Feline Viral Rhinotracheitis
Dog,Chihuahua,4,Male,11.1,Dehydration,Swollen Legs,Labored Breathing,Lethargy,6 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,38.4°C,138,Parvovirus
Dog,Golden Retriever,1,Female,12.4,Diarrhea,Reduced Appetite,Reduced Milk Production,Labored Breathing,2 weeks,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,40.1°C,109,Gastroenteritis
Sheep,Karakul,6,Female,65.8,Vomiting,Dehydration,Coughing,Appetite Loss,5 days,Yes,No,No,Yes,No,Yes,Yes,Yes,No,38.5°C,70,Bluetongue
Sheep,Merino,6,Female,104.6,Reduced Appetite,Lethargy,Diarrhea,No,6 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,38.7°C,70,Chlamydia in Sheep
Cat,Russian Blue,2,Female,3.3,Lethargy,Nasal Discharge,Decreased Milk Yield,Sneezing,6 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,40.0°C,143,Feline Infectious Peritonitis
Cat,Russian Blue,1,Female,6.0,Appetite Loss,Lethargy,Eye Discharge,Reduced Mobility,7 days,Yes,Yes,No,No,No,No,Yes,No,Yes,40.1°C,141,Feline Upper Respiratory Infection
Horse,Thoroughbred,8,Male,788.3,Fever,Swollen Joints,Swelling,Reduced Wool Growth,2 weeks,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,39.1°C,104,Equine Arthritis
Cat,Ragdoll,6,Female,7.0,Decreased Milk Yield,Reduced Milk Production,Skin Lesions,Vomiting,1 week,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,39.3°C,141,Upper Respiratory Infection
Cow,Jersey,5,Male,585.0,Lameness,Swollen Joints,Sneezing,Diarrhea,9 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,40.0°C,72,Bovine Tuberculosis
Horse,Arabian,7,Male,504.4,Coughing,Appetite Loss,Diarrhea,Vomiting,8 days,Yes,No,Yes,Yes,No,No,No,Yes,No,38.8°C,71,Equine Influenza
Dog,Poodle,5,Male,26.2,Vomiting,Dehydration,No,Nasal Discharge,4 days,Yes,No,No,Yes,No,Yes,No,Yes,No,38.8°C,101,Canine Infectious Hepatitis
Sheep,Suffolk,6,Female,87.5,Dehydration,Reduced Appetite,Decreased Milk Yield,Diarrhea,1 week,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.4°C,83,Bluetongue
Rabbit,Holland Lop,2,Female,2.4,Loss of Appetite,Reduced Appetite,Labored Breathing,Nasal Discharge,2 weeks,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,38.4°C,126,Rabbit Viral Hemorrhagic Disease
Cow,Simmental,3,Male,652.9,Fever,Swollen Legs,Swelling,Reduced Mobility,9 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,39.1°C,70,Bovine Respiratory Disease
Cat,Bombay,2,Male,3.7,Reduced Mobility,Loss of Appetite,Lethargy,No,9 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,39.6°C,148,Feline Leukemia
Sheep,Merino,3,Male,91.9,Reduced Milk Production,Swollen Legs,Decreased Milk Yield,Reduced Wool Production,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,38.7°C,84,Scrapie
Rabbit,English Angora,2,Male,1.0,Swollen Legs,No,Coughing,Appetite Loss,2 weeks,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,40.2°C,141,Pasteurellosis
Cow,Guernsey,3,Female,700.5,Swollen Joints,Decreased Milk Yield,Reduced Appetite,Loss of Appetite,9 days,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,38.9°C,70,Johne's Disease
Horse,Arabian,10,Male,591.7,Reduced Appetite,Loss of Appetite,Swelling,Swollen Joints,2 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,40.0°C,73,Equine Laminitis
Sheep,Suffolk,3,Male,107.7,Lethargy,Decreased Milk Yield,Dehydration,Labored Breathing,12 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,39.0°C,79,Scrapie
Rabbit,Himalayan,2,Male,2.4,Vomiting,Coughing,Reduced Milk Production,No,9 days,Yes,Yes,Yes,Yes,Yes,No,No,No,No,38.4°C,142,Myxomatosis
Horse,Thoroughbred,11,Male,307.4,Reduced Mobility,Reduced Appetite,Loss of Appetite,No,8 days,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,38.6°C,86,Equine Metabolic Syndrome
Cow,Jersey,5,Female,671.8,Swollen Joints,Decreased Milk Yield,Coughing,No,10 days,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,39.5°C,82,Bovine Viral Diarrhea
Rabbit,Holland Lop,1,Male,1.3,Weight Loss,Reduced Milk Production,Decreased Milk Yield,Reduced Mobility,3 days,Yes,No,No,Yes,No,Yes,No,No,No,38.5°C,155,Pasteurellosis
Cow,Jersey,6,Male,643.6,Swollen Joints,Weight Loss,Decreased Milk Yield,Vomiting,7 days,Yes,No,Yes,Yes,No,No,No,Yes,No,38.4°C,84,Mastitis
Rabbit,Dutch,1,Male,2.3,No,Reduced Mobility,Weight Loss,Reduced Milk Production,4 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.3°C,148,Pasteurellosis
Dog,Rottweiler,6,Male,20.2,Reduced Mobility,Labored Breathing,No,Reduced Wool Growth,10 days,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,40.1°C,128,Kennel Cough
Cow,Guernsey,6,Male,606.4,Reduced Wool Growth,Swelling,Nasal Discharge,Labored Breathing,2 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.6°C,84,Respiratory Syncytial Virus
Sheep,Dorset,4,Female,77.4,Weight Loss,Vomiting,Swelling,Reduced Milk Production,9 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,39.9°C,81,Scrapie
Dog,Dachshund,4,Female,42.0,Sneezing,Vomiting,Fever,Weight Loss,12 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,38.7°C,122,Bordetella Infection
Sheep,Suffolk,6,Female,101.9,Reduced Milk Production,Diarrhea,Lameness,Swelling,2 weeks,Yes,No,Yes,No,Yes,No,Yes,No,Yes,40.0°C,70,Contagious Ecthyma
Dog,Golden Retriever,5,Male,8.3,Labored Breathing,Swelling,Reduced Mobility,Sneezing,10 days,Yes,Yes,No,Yes,No,No,Yes,No,No,38.7°C,114,Canine Leptospirosis
Sheep,Corriedale,3,Female,112.4,Dehydration,Labored Breathing,Eye Discharge,No,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,40.2°C,82,Scrapie
Horse,Clydesdale,5,Male,573.9,Reduced Appetite,Labored Breathing,Reduced Wool Production,Reduced Mobility,5 days,Yes,No,No,No,No,No,No,Yes,No,39.8°C,76,West Nile Virus
Cow,Brahman,7,Male,541.9,Fever,Eye Discharge,Sneezing,Lameness,2 days,Yes,Yes,No,No,Yes,No,Yes,No,Yes,39.9°C,72,Bovine Tuberculosis
Sheep,Cheviot,4,Male,83.5,Labored Breathing,Coughing,Reduced Appetite,Swelling,7 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.7°C,78,Scrapie
Cow,Aberdeen Angus,7,Male,667.9,Decreased Milk Yield,Fever,Lethargy,Sneezing,6 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,39.6°C,74,Mastitis
Dog,Bulldog,7,Female,27.3,Reduced Wool Production,Reduced Mobility,Diarrhea,Weight Loss,5 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,38.8°C,121,Arthritis
Horse,Quarter Horse,4,Male,694.5,Eye Discharge,Appetite Loss,Swollen Legs,Reduced Appetite,9 days,Yes,No,Yes,No,No,No,No,Yes,No,39.8°C,79,Equine Viral Arteritis
Sheep,Blackface,4,Male,91.1,Loss of Appetite,Diarrhea,Swollen Joints,Reduced Appetite,3 days,Yes,Yes,No,Yes,No,No,Yes,No,Yes,38.4°C,76,Bluetongue
Pig,Tamworth,2,Male,95.9,Swollen Joints,Reduced Mobility,Coughing,Weight Loss,2 weeks,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,38.9°C,92,Porcine Epidemic Diarrhea
Cat,Devon Rex,3,Female,8.4,Skin Lesions,Reduced Wool Growth,Swelling,Lameness,1 week,Yes,No,No,No,Yes,Yes,Yes,No,Yes,39.4°C,138,Upper Respiratory Infection
Cow,Shorthorn,3,Female,715.5,Reduced Wool Growth,Dehydration,Reduced Wool Production,Nasal Discharge,8 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,40.0°C,72,Bovine Respiratory Disease
Cat,Sphynx,5,Male,3.0,Appetite Loss,Labored Breathing,Nasal Discharge,Lameness,8 days,Yes,Yes,No,Yes,No,Yes,No,No,No,40.0°C,142,Feline Infectious Peritonitis
Pig,Duroc,4,Female,102.0,Reduced Wool Growth,Swollen Joints,Lethargy,Vomiting,3 days,Yes,Yes,No,No,No,No,Yes,Yes,No,38.9°C,86,Actinobacillus Pleuropneumonia
Dog,Beagle,5,Female,20.1,Diarrhea,Eye Discharge,Nasal Discharge,Lameness,4 days,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,39.1°C,123,Parvovirus
Horse,Clydesdale,11,Male,475.0,Skin Lesions,Lethargy,Lameness,Diarrhea,7 days,Yes,No,No,Yes,No,No,Yes,Yes,Yes,39.7°C,70,Equine Arthritis
Dog,Poodle,1,Female,34.8,Lethargy,Vomiting,Reduced Wool Growth,Loss of Appetite,2 days,Yes,No,Yes,No,No,No,No,No,Yes,39.1°C,130,Canine Distemper
Cat,Bengal,4,Male,7.3,Reduced Milk Production,Coughing,Appetite Loss,Labored Breathing,3 days,Yes,No,No,No,Yes,Yes,No,No,Yes,38.5°C,150,Feline Leukemia
Pig,Hampshire,5,Female,119.1,Swollen Legs,Coughing,Sneezing,Labored Breathing,10 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,38.6°C,94,Swine Fever
Rabbit,Dutch,2,Male,2.4,Reduced Milk Production,Fever,Swollen Legs,Labored Breathing,12 days,Yes,Yes,No,No,Yes,Yes,Yes,No,No,39.5°C,144,Upper Respiratory Infection
Horse,Arabian,8,Female,529.4,Swollen Joints,Swelling,Reduced Wool Production,Labored Breathing,1 week,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,38.5°C,70,Equine Rhinopneumonitis
Goat,Toggenburg,3,Male,87.5,Lameness,Skin Lesions,Decreased Milk Yield,No,8 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.9°C,88,Pneumonia
Pig,Tamworth,4,Female,108.7,Eye Discharge,Weight Loss,Labored Breathing,Lameness,4 days,Yes,No,No,Yes,No,Yes,No,Yes,No,40.0°C,91,Actinobacillus Pleuropneumonia
Cow,Aberdeen Angus,2,Male,621.9,Skin Lesions,Lameness,Labored Breathing,Vomiting,8 days,Yes,No,Yes,Yes,No,No,No,Yes,No,39.0°C,78,Mastitis
Rabbit,Holland Lop,3,Female,1.7,Coughing,No,Loss of Appetite,Decreased Milk Yield,4 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,40.0°C,146,Rabbit Syphilis
Cat,Sphynx,4,Female,8.0,Reduced Milk Production,Swollen Legs,Dehydration,Appetite Loss,5 days,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,39.1°C,139,Feline Rhinotracheitis
Cat,Bengal,3,Female,6.3,No,Weight Loss,Decreased Milk Yield,Lameness,12 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,39.9°C,147,Feline Rhinotracheitis
Cat,Ragdoll,3,Female,4.0,Reduced Milk Production,No,Vomiting,Diarrhea,10 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,38.4°C,142,Feline Leukemia
Sheep,Suffolk,5,Male,128.0,Vomiting,Fever,Sneezing,Skin Lesions,12 days,Yes,No,Yes,Yes,No,Yes,No,Yes,No,40.1°C,83,Blue Tongue Virus
Goat,Kiko,5,Female,86.8,Lameness,Eye Discharge,Reduced Appetite,Fever,3 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.4°C,85,Caprine Pleuropneumonia
Cat,Persian,4,Female,8.2,Eye Discharge,Reduced Appetite,Sneezing,Swollen Legs,4 days,Yes,No,Yes,Yes,Yes,No,No,No,Yes,39.9°C,148,Feline Chlamydiosis
Dog,Golden Retriever,4,Male,40.8,Lameness,Swollen Legs,Skin Lesions,Reduced Wool Growth,9 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,39.3°C,127,Gastroenteritis
Horse,Paint,11,Male,373.6,Appetite Loss,Reduced Appetite,Reduced Wool Growth,Swollen Joints,6 days,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,40.2°C,87,Equine Herpesvirus
Rabbit,English Angora,3,Female,1.4,Reduced Milk Production,Reduced Wool Production,Sneezing,Lameness,2 days,Yes,Yes,No,No,No,No,No,Yes,No,39.4°C,144,Myxomatosis
Horse,Thoroughbred,4,Female,659.1,Eye Discharge,Reduced Wool Growth,Labored Breathing,Skin Lesions,4 days,Yes,No,No,Yes,No,Yes,Yes,Yes,No,39.7°C,71,Equine Encephalomyelitis
Horse,Arabian,11,Female,338.0,Appetite Loss,Fever,Eye Discharge,Swelling,2 weeks,No,Yes,Yes,Yes,No,No,No,No,Yes,39.0°C,77,Equine Encephalomyelitis
Cow,Ayrshire,6,Male,567.4,Reduced Milk Production,Loss of Appetite,Eye Discharge,Lethargy,7 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,39.6°C,81,Bovine Tuberculosis
Dog,Shih Tzu,7,Male,20.9,Weight Loss,Swollen Joints,Reduced Milk Production,Reduced Appetite,2 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.5°C,118,Parvovirus
Rabbit,Himalayan,2,Female,1.0,Swelling,Reduced Wool Growth,Eye Discharge,Coughing,6 days,Yes,Yes,No,No,No,Yes,No,No,Yes,38.7°C,141,Rabbit Hemorrhagic Disease
Goat,Alpine,6,Female,63.0,Nasal Discharge,Eye Discharge,Swollen Legs,Vomiting,5 days,Yes,Yes,No,Yes,No,No,Yes,No,Yes,40.2°C,88,Caprine Pleuropneumonia
Dog,German Shepherd,4,Male,9.5,Dehydration,No,Swollen Legs,Reduced Milk Production,8 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,40.1°C,113,Canine Flu
Horse,Clydesdale,4,Female,380.1,Nasal Discharge,Reduced Mobility,Lameness,Diarrhea,2 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.6°C,70,Equine Influenza
Goat,Kiko,2,Female,68.9,Reduced Mobility,Dehydration,Reduced Wool Production,Diarrhea,10 days,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,39.9°C,90,Caprine Arthritis Encephalitis
Horse,Appaloosa,6,Female,413.3,Vomiting,Weight Loss,Reduced Appetite,Decreased Milk Yield,12 days,Yes,Yes,No,No,No,No,No,Yes,Yes,39.3°C,81,Equine Laminitis
Horse,Clydesdale,9,Female,409.1,Swollen Joints,Weight Loss,Vomiting,Reduced Wool Growth,7 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,39.1°C,84,Equine Arthritis
Goat,Toggenburg,5,Male,93.1,Skin Lesions,Dehydration,Reduced Appetite,Diarrhea,8 days,Yes,No,Yes,No,No,Yes,No,No,No,38.5°C,87,Caprine Arthritis Encephalitis
Cow,Angus,3,Male,541.8,Decreased Milk Yield,Lameness,Lethargy,Appetite Loss,6 days,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.5°C,83,Johne's Disease
Rabbit,Dutch,1,Female,2.2,Reduced Mobility,Loss of Appetite,Appetite Loss,Labored Breathing,2 weeks,Yes,No,No,Yes,No,No,Yes,Yes,No,40.0°C,142,Pasteurellosis
Dog,German Shepherd,4,Male,22.4,Fever,Eye Discharge,Sneezing,Skin Lesions,12 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,39.6°C,136,Parvovirus
Cow,Holstein,4,Male,636.5,Labored Breathing,Swollen Joints,Coughing,Lethargy,1 week,Yes,No,Yes,Yes,Yes,No,No,No,No,38.5°C,80,Bovine Respiratory Disease Complex
Horse,Clydesdale,8,Female,407.2,No,Reduced Mobility,Eye Discharge,Reduced Wool Production,10 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,39.6°C,91,Equine West Nile Virus
Cat,Burmese,7,Male,4.5,Reduced Appetite,Lameness,Appetite Loss,Lethargy,4 days,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,39.9°C,151,Gastroenteritis
Cow,Dexter,7,Male,693.2,Loss of Appetite,Vomiting,Sneezing,Swelling,8 days,Yes,Yes,No,No,No,Yes,Yes,No,Yes,38.6°C,70,Bovine Tuberculosis
Dog,Rottweiler,4,Male,33.2,Reduced Appetite,Reduced Wool Growth,Sneezing,Nasal Discharge,7 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,40.2°C,101,Parvovirus
Goat,Alpine,5,Female,88.3,Reduced Wool Production,No,Labored Breathing,Reduced Appetite,7 days,No,No,No,Yes,Yes,No,No,Yes,Yes,39.3°C,96,Caprine Respiratory Disease
Dog,Golden Retriever,3,Female,10.6,Reduced Mobility,Coughing,Lethargy,Vomiting,12 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,39.5°C,115,Canine Distemper
